title,Monthly Rent,Floor,description,Furnishing,address,latitude,longitude,Bathrooms,Bedrooms
"2 Bed Maisonette, St Giles High Street, WC2H","£3,791",5th floor," SUPER BALCONY FLAT in CENTRAL ZONE 1 by CENTRE POINTat Oxford Street/Charing Cross Road & the NEW St Giles Square PlazaThe meeting point of Soho, Covent Garden, Bloomsbury & FitzroviaHeart of THEATRELAND & also near British Museum, Royal Opera House1 minute to Tottenham Court Road Underground Station - (Central | Northern Line & Crossrail)FULLY FURNISHED & EQUIPPED > Cutlery, Crockery, Glassware, Pots etcplus all major furniture - Sofas, Dining Table, Balcony Table and Chairs, Beds and Curtains (Unfurnished properties usually cost several thousand pounds to fully furnish and equip)The APARTMENT comprises: Kitchen Living + Dining Room with covered Balcony 2 large double Bedrooms with bed options:- 1x Super-King + 2 Singles (as in photos), or 2x Super-Kings 1 Full Bathroom with WC, Basin and Bath over Shower 1 Guest WC and BasinI am looking for a professional Single/Couple, Student(s), or retirees to look after my flat for me and appreciate it's super central location, plus take advantage of a direct with Landlord offer.TERMS:  Rent to be paid in full in advance, plus 5 weeks GOOD CARE DEPOSIT+ Utility Bills (direct to suppliers) (Council Tax, Water Rates, Electricity, TV Licence, Broadband)Strictly no sub-letting or AirBnB is permitted by my Freeholders :So please do NOT enquire if you plan to do thisVIEW TODAY ! Please CONTACT this website host in order to get passed on to me (the LANDLORD) so we can arrange a viewing todaySTRICTLY NO AGENTS NEED REPLYI ONLY WISH TO RENT DIRECT TO END USER WITH THIS ADVERT OFFERNO AGENT COMMISSION OR FEES THEREFORE PAYABLE. ",Furnished,,,,,
"Studio Flat, Dufours Place, W1F","£2,300",6th floor,"                                We are proud to offer this Stunning studio flat in a great location of central London.This studio flat comes fully furnished with modern bathroom and small private balcony. Available to move in from 10 August 2023. Viewing highly recommended. SummaryRent Â£2,300.00 per month (Â£530.77 per week)Deposit / Bond is Â£2,653.84Minimum tenancy is 12 months.Maximum number of tenants is 2.                            ",Furnished,,,,,
"1 Bed Flat, Marshall Street, W1F","£5,490",8th floor,"                                An outstanding 1BR Regent Street Quarter Apartment with ParkingServiced with weekly cleaningAll bills includedHIGH QUALITY FURNISHINGFAST WIFIBALCONY WINDOWSSHARED GARDEN QUIET CARNABY DEVELOPMENTPOOL AND GYM NEXT DOOREnjoy Central London without commuting2 minutes from Oxford Circus underground stationQuiet Carnaby pedestrianised streetBest of both worlds!Windows along full length of apartmentPrivate courtyard facingFully equipped kitchen, stove, coffee machine, washing machineComplete bed linen and towelsJust arrive with your suitcase and you will instantly feel at home                            ",Furnished,,,,,
"2 Bed Flat, Regent Loft & Penthouses, W1F","£8,000",14th floor," Vast Industrial Loft Apartment in Regent Street QuarterÂ£16,000pcm or Â£8000 per bedroom | 2BR 4paxSuits the international executive and familyFeatures:Private gated Regent-style development on the east of Regent Street24/7 ConciergeServiced with weekly cleaningSecured parking with direct lift access40-meter-long landscaped courtyard viewsCommunal rooftop views over LondonAdjacent to swimming pool, gym and spaIncredibly quiet - has to be experienced to be believedInterior:Featured in interior design magazinesOver 1100 sqft of open plan entertaining areaTwo full sized en-suite bedroomsHigh quality furnishingFamily-sized marble bath suiteSolid Dinesen Douglas Fir flooringUnderfloor heatingExceptional ceiling heightFull height Crittal windowsAir-conditioningFast internet Wifi and Apple TV                            ",Furnished,,,,,
"4 Bed Flat, Exide House, WC2H","£6,500",2nd floor,"  Modern, split level 4 bedroom apartment, less than 5-minute walk from Tottenham Court Road station.This two storey apartment in a period block consists of four double bedrooms and two large bathrooms. It comes fully furnished with an open plan kitchen, dining and living area. Finished to a high standard with real wood floors and high ceilings. On the lower floor the apartment also comes with a terrace and outdoor seats, which is an exceptionally rare bonus to have in Central London! This is an ideal location for any LSE, Kings College and UCL university students with a quick 2 minute walk to Tottenham Court Road tube station and direct links to all of these campuses.   Property is fully furnished.Minimum tenancy length is 12 months. Considering offers over Â£6500.Deposit is equal to 5-weeks rent.Viewings are required.Bills payable by Tenants: Council Tax, Gas, Electricity, Water and Wi-Fi.Available move-in date is 04/09/2023.*NO AGENT OR CORPORATE LET ENQUIRIES* ",Furnished,,,,,
"1 Bed Flat, Fareham Street, W1F","£4,500",3rd floor,"                                We are proud to offer this delightful 1 bedroom, 1 bathroom flat in a great location. Photos to follow shortly.Available to move in from 15 June 2023. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing! SummaryRent Â£4,500.00 per month (Â£1,038.46 per week)Deposit / Bond is Â£5,192.30Minimum tenancy is 12 monthsMaximum number of tenants is 2Photos to follow shortly                            ",Furnished,,,,,
"1 Bed Flat, Vandon Court, SW1H","£3,250",10th floor," *Rent includes:  superfast wifi, hot water & heating.A beautifully renovated, bright 1-bed flat on the south-facing side of Vandon Court with an open view into Caxton Street. Amazing location in the heart of London: next to St James Tube Station (District/Circle lines) and a 24/7 taxi stop; a stroll away from Buckingham Palace, Westminster Abbey, as well as beautiful St Jamesâs Park.  The buzzing restaurants scenes of Victoria/Nova and Mayfair are also a short walk away.  The building has 24/7 caretaker and lift.                            ",Furnished,,,,,
"2 Bed Flat, Hanway Place, W1T","£3,200",18th floor,"                                A lovely two bedroom flat with Victorian character and lots of natural light is available for rent from mid August 2023. The flat is newly renovated with new furniture, bathroom and kitchen. The flat has two double bedrooms, a lounge, kitchen, shower room and separate WC. It is on the second floor of the building.The flat is located on a side street off Oxford Street (1 minute walk away) and 2 minutes walk to Tottenham Court Road station (Central, Northern, and Elizabeth tube lines). It's minutes away from Soho, Charlotte Street, Goodge Street and Rathbone Place, which has plenty of great restaurants and bars. Rent includes:- service charge- Two double beds - Two wardrobes- Sofa- Coffee table- Washer dryer- Fridge freezer- Oven with induction hob- MicrowaveRent excludes:- Water, gas, electric, council tax and wifi bills                            ",Furnished,,,,,
"Studio Flat, Willoughby Street, WC1A","£1,798",19th floor," Available to rent on a fully furnished base from 10/Aug/23. All utility bills inclusive (water, electricity, heating & hot water, internet). Not Council Tax!!!Long Let Only!!!!!Cleaning of the communal area is provided on a biweekly basis. Viewing recommended.This apartment suits on the first floor of a five-stories mid-terrace building arranged as desirable letting accommodation. The building has been completely refurbished to a high standard with impressive fixtures and furnishings such as central heating, double-glazed windows, wi-fi, communal areas with CCTV, fire alarm & emergency lighting. The flat comes with a modern fitted kitchen/living room with appliances and a bedroom with handmade fitted oak wardrobes. Please be aware the studio has a shared bathroom with another tenant on the same floor. Situated in a prime central London location near the junction of Willoughby Street and Great Russell Street. Oxford Street, entertainment attractions, theaters, and cinemas are nearby. The property is within close proximity to many universities, hospitals, museums, and the Eurostar link at St Pancras International. The leisure areas of Russell Square, Bloomsbury Square Garden, Regentâs Park, and Hyde Park are within easy reach. Easy commute to Liverpool street, Bank, London Bridge, etc.Tube: Tottenham Court Road (Central and Northern Lines), Holborn (Piccadilly Line)Feel free to call today. ",Furnished,,,,,
"1 Bed Flat, Oxford Street, W1D","£2,400",14th floor," 1 Bedroom Modern ApartmentFully Furnished with a Separate KitchenIn the heart of Oxford Circusonly 4 minutes away from the Oxford Circus Tube StationSeparate Bathroom with ShowerheadSeparate Kitchen with AppliancesRent is exclusive of all utility bills and council tax I am proud to present this stylish fully-furnished apartment with 1 bedroom, available for a long let in the heart of Oxford Circus. The apartment is spacious with a wooden floor providing a modern aesthetic and is accessible by a lift and stairs. The apartment comes with a separate living room, an ideal space to host and entertain guests. This includes a dining area that can easily be converted into a workspace. Appliances such as a stove, refrigerator, and washing machine are available for tenants.This apartment is ideally suited for couples and working professionals with easy access to Oxford Circus Tube Station with lines to The Bakerloo, Central & Victoria Lines. The apartment is well-lit with windows in all living areas. The separate kitchen space and bathroom make it a perfect apartment choice for couples, although its versatility and location make it ideal for working professionals too.Oxford Circus is home to a variety of shops, restaurants, bars, and hangout spots. It is one of the most sought-after locations by tenants in London, which makes this apartment a highly in-demand property. The rent fee is exclusive of all utility bills and council tax. Complimentary internet is available. A virtual walkthrough video for the property is available. For physical viewing, please do contact me.  ",At tenant choice,,,,,
"1 Bed Flat, Oxford Street, W1D","£2,500",8th floor," 1 Bedroom Modern ApartmentFully Furnished with a Separate KitchenIn the heart of Oxford Circusonly 4 minutes away from the Oxford Circus Tube StationSeparate Bathroom with ShowerheadSeparate Kitchen with AppliancesRent is exclusive of utility bills and council tax.I am proud to present this stylish fully-furnished apartment with 1 bedroom, available for a long let in the heart of Oxford Circus. The apartment is spacious with a wooden floor providing a modern aesthetic and is accessible by a lift and stairs. The apartment comes with a separate living room, an ideal space to host and entertain guests. This includes a dining area that can easily be converted into a workspace. Appliances such as a stove, refrigerator, and washing machine are available for tenants.This apartment is ideally suited for couples and working professionals with easy access to Oxford Circus Tube Station with lines to The Bakerloo, Central & Victoria Lines. The apartment is well-lit with windows in all living areas. The separate kitchen space and bathroom make it a perfect apartment choice for couples, although its versatility and location make it ideal for working professionals too.Oxford Circus is home to a variety of shops, restaurants, bars, and hangout spots. It is one of the most sought-after locations by tenants in London, which makes this apartment a highly in-demand property. The rent fee is exclusive of utility bills and council tax. Complimentary internet is available for tenants. ",At tenant choice,,,,,
"1 Bed Flat, Oxford Street, W1D","£2,300",16th floor," Modern One Bed Apartment Fully Furnished with a Separate Kitchen & AppliancesIn the heart of Oxford Circusonly 4 minutes away from the Oxford Circus Tube StationSeparate Bathroom with ShowerheadRent is exclusive of all utility bills and council tax I am proud to present this stylish fully-furnished one-bed apartment, available for a long let in the heart of Oxford Circus. The apartment is spacious with a wooden floor providing a modern aesthetic and is accessible by a lift and stairs. The apartment is an ideal space to host and entertain guests. This includes a dining area that can easily be converted into a workspace. Appliances such as a stove, refrigerator, and washing machine are available for tenants.This apartment is ideally suited for couples and working professionals with easy access to Oxford Circus Tube Station with lines to The Bakerloo, Central & Victoria Lines. The apartment is well-lit with windows in all living areas. The separate kitchen space and bathroom make it a perfect apartment choice for couples, although its versatility and location make it ideal for working professionals too.Oxford Circus is home to a variety of shops, restaurants, bars, and hangout spots. It is one of the most sought-after locations by tenants in London, which makes this apartment a highly in-demand property. The rent fee is exclusive of utility bills. ",Furnished,,,,,
"1 Bed Flat, Adam & Eve Court, W1D","£2,200",2nd floor," 1 Bedroom Modern ApartmentFully Furnished with a Separate KitchenIn the heart of Oxford Circusonly 4 minutes away from the Oxford Circus Tube StationSeparate Bathroom with bathtubSeparate Kitchen with AppliancesRent is exclusive of all utility bills and council taxI am proud to present a true gem in the heart of Oxford Circus, this modern fully-furnished apartment is available for a long let exclusively. Perfect for a working professional, this apartment offers all the amenities required for a cozy living experience. You get a separate stylish kitchen with all the appliances that you need, including a washing machine, refrigerator, and stove. This spacious apartment supports wooden floors, designed walls, and windows that offer great views of the Oxford Circus area.The living area is the ideal space to be converted into a workspace or to entertain guests. Feel free to experiment with the aesthetic of the apartment and feel at home at this property. The open kitchen and separate washroom in this apartment are highly sought-after amenities by tenants in this area.This apartment offers easy access to Oxford Circus Tube Station with lines to The Bakerloo, Central & Victoria Lines. Oxford Circus is home to a variety of shops, restaurants, bars, and hangout spots. It is one of the most sought-after locations by tenants in London, which makes this apartment a highly in-demand property.The rent fee is inclusive of the internet and exclusive of all utility bills and council tax.A virtual walkthrough video for the property is available. For a physical viewing, please do contact me.  ",Furnished,,,,,
"1 Bed Flat, Oxford Circus, W1D","£3,000",3rd floor," 1 Bedroom Modern ApartmentFully Furnished with a Separate KitchenIn the heart of Oxford Circusonly 4 minutes away from the Oxford Circus Tube StationSeparate Bathroom with ShowerheadSeparate Kitchen with AppliancesRent is exclusive of utility bills and council tax.I am proud to present this stylish fully-furnished apartment with 1 bedroom, available for a long let in the heart of Oxford Circus. The apartment is spacious with a wooden floor providing a modern aesthetic and is accessible by a lift and stairs. The apartment comes with a separate living room, an ideal space to host and entertain guests. This includes a dining area that can easily be converted into a workspace. Appliances such as a stove, refrigerator, and washing machine are available for tenants.This apartment is ideally suited for couples and working professionals with easy access to Oxford Circus Tube Station with lines to The Bakerloo, Central & Victoria Lines. The apartment is well-lit with windows in all living areas. The separate kitchen space and bathroom make it a perfect apartment choice for couples, although its versatility and location make it ideal for working professionals too.Oxford Circus is home to a variety of shops, restaurants, bars, and hangout spots. It is one of the most sought-after locations by tenants in London, which makes this apartment a highly in-demand property. The rent fee is exclusive of utility bills and council tax. Complimentary internet is available for tenants  ",Furnished,,,,,
