title,description,Deposit,Rent PCM,Bills Included,Broadband,Student Friendly,Families Allowed,Pets Allowed,Smokers Allowed, DSS/LHA Covers Rent  ,Available From,Minimum Tenancy, Online Viewings      ,Garden,Parking,Fireplace,Furnishing,EPC Rating,station_distances, DSS Income Accepted  ,Maximum Tenancy,Students Only,EPC Not Required
"2 Bed Flat, Whitehouse Apartments, SE1","                                A great opportunity to rent this spacious two bedroom apartment within the renowned Whitehouse Apartments.The property is on the ground floor, and offers a large reception room, with a separate fully fitted kitchen, master bedroom with built in wardrobes and en-suite, and a second bedroom.The building benefits from 24 hour concierge with an additional on-site gymnasium with indoor swimming pool and spa. The immediate area offers a selection of shops, and restaurants, with Waterloo & Westminster Stations within a stone throw away as well as the Royal Festival Hall, London Eye nearby.*Electricity is included in the rent                            ","£3,499.99","£3,033.33",No,             View Offers         ,No,No,No,No,No,Today,9 Months,,No,No,No,Furnished,C,"[['                                        Waterloo                                    ', '                                        5 minute walk                                    '], ['                                        London Waterloo                                    ', '                                        6 minute walk                                    '], ['                                        London Waterloo East                                    ', '                                        8 minute walk                                    '], ['                                        Embankment                                    ', '                                        10 minute walk                                    ']]",,,,
"3 Bed Flat, Whitehouse Apartments, SE1"," Whitehouse Apartments is a highly sought after residential development less than 5 minutes walk to Waterloo underground station. Available end of September.3 bedroom apartment on the third floor with larger than average room sizes. Suitable for family, group of friends or students looking for a one year term.The apartment offers two en-suite bathrooms, and a private shower room for the third bedroom. Residents can enjoy a 24-hour concierge service, as well as private residents gym and swimming pool.                            ","£5,769.23","£5,000.00",No,             View Offers         ,No,No,No,No,No,"30 September, 2023",12 Months,No,No,No,No,At tenant choice,C,"[['                                        Waterloo                                    ', '                                        5 minute walk                                    '], ['                                        London Waterloo                                    ', '                                        6 minute walk                                    '], ['                                        London Waterloo East                                    ', '                                        8 minute walk                                    '], ['                                        Embankment                                    ', '                                        10 minute walk                                    ']]",,,,
"1 Bed Flat, Whitehouse Apartments, SE1","                                Suberb riverside fully-furnished 1 bedroom apartment on the Southbank, Whitehouse Apartments next to Jubilee Gardens opposite Royal Festival Hall. 24 hour concierge/security, onsite gym and pool. Roof Gardens. Good light, large separate kitchen and separate bathroom with bath/shower. Large double bed and good storage. Close to King's College and to LSE with good links to City and to Canary Wharf. Waterloo, Embankment stations and riverboats. Galaxy of restaurants and bars on your doorstep, supermarkets and a short walk across the river to Embankment, Covent Garden and the West EndAvailable to move in from 29th of August 2023. PRICE FOR COUPLES Â£625 pwViewing highly recommended. Contact OpenRent today for more details or to arrange a viewing! No PetsNO AGENTS or SUBLETTING                            ","£2,875.00","£2,491.67",No,             View Offers         ,No,No,No,No,No,"29 August, 2023",11 Months,No,No,No,No,Furnished,C,"[['                                        Waterloo                                    ', '                                        5 minute walk                                    '], ['                                        London Waterloo                                    ', '                                        6 minute walk                                    '], ['                                        London Waterloo East                                    ', '                                        8 minute walk                                    '], ['                                        Embankment                                    ', '                                        10 minute walk                                    ']]",,,,
"2 Bed Flat, Casson Square, SE1"," Stunning 2 bedroom apartment available on the 4th floor of Casson Square. Furnished.   The open plan reception and kitchen provide integrated appliances.   Both bedrooms feature floor to ceiling windows and ample storage space with built-in wardrobes with generous storage capacity is bolstered with further similar storage cupboards in the hallway.   The bedroom offers a spacious en-suite bathroom with separate shower and the bath and heated towel rail. There is a further shower room in the apartment.   Further leisure facilities are available, the space includes a state-of-the-art gym & swimming pool facilities, workout studios and spa (spa subject to separate charges).    There is access to a residents lounge within the building.   Casson Square has a dedicated security provision including a 24 hour concierge and apartment video entry. The development offers site wide CCTV security with centralised concierge/security office and 24 hour security staff.   The development benefits an onsite entrance into Waterloo Station which holds the Northern Lie, Bakerloo Line, Jubilee Line, Waterloo & City Line and mainline trains.   Local points of interest include, the UKs largest cinema screen at the BFI IMAX, London's Southbank, Royal Festival Hall, Hayward Gallery, National Theatre Young and Old Vic Theatres, the Garden Museum and the London Eye.   The photos are for illustrations and marketing purpose only. Property is available after 7th September 2023. Viewing available upon request. ","£6,288.46","£5,450.00",No,             View Offers         ,No,No,No,No,No,"13 August, 2023",12 Months,No,No,No,No,Furnished,B,"[['                                        Waterloo                                    ', '                                        2 minute walk                                    '], ['                                        London Waterloo                                    ', '                                        4 minute walk                                    '], ['                                        London Waterloo East                                    ', '                                        7 minute walk                                    '], ['                                        Lambeth North                                    ', '                                        11 minute walk                                    ']]",,,,
"2 Bed Flat, East Block, SE1","                                We are proud to offer this delightful 2 bedroom, 2 bathroom flat in a great location direct from the landlord and therefore it is 10% cheaper than through agents in one of the best flats in County Hall given its location and high ceilings. * Location: Riverside by London Eye next to Jubilee Gardens and proximity to St James' and Green Parks and close to Kings College and LSE* Flat: high ceilings, lots of light, ample storage, access to onsite pool and gym * 24-7 security: onsite concierge and secure monitored entrances* Southbank:on your doorstep with restaurants and bars from the South Bank Centre, IMAX, National Theatre, New Tate and a pleasant walk toward Shakespeare's Globe and the walkway to St Paul's cathedral or on to London Bridge. The video shows the full spectrum of location, building and facilities but is for another flat in the same block we own.Available to move in from September 2020, this property benefits from available parking, and garden access. Property is offered furnished and suitable for a single occupant or a couple.Car park space available as extra.                            ","£4,383.46","£3,799.00",No,             View Offers         ,No,No,No,No,No,"01 October, 2023",12 Months,,No,No,No,Furnished,C,"[['                                        Waterloo                                    ', '                                        5 minute walk                                    '], ['                                        London Waterloo                                    ', '                                        7 minute walk                                    '], ['                                        Lambeth North                                    ', '                                        7 minute walk                                    '], ['                                        Westminster                                    ', '                                        8 minute walk                                    ']]",,,,
"2 Bed Maisonette, St Giles High Street, WC2H"," FULLY FURNISHED + EQUIPPED BALCONY FLAT at CENTREPOINT Zone 1IDEAL for INTERNATIONAL STUDENTS/Anyone as MOVE-IN READY AVAILABLE August 2023 for LONG-STAYS - see various offers belowJust bring a Toothbrush + Clothes (or buy them when you get here!)The LOCATION cannot be more central - it is right beside ""CENTRE POINT""at Oxford Street/Charing Cross Road & the NEW St Giles Square Plaza* * * * *This is the meeting point of Soho, Covent Garden, Bloomsbury & Fitzrovia- Heart of THEATRELAND & also near British Museum, Royal Opera House1 minute to Tottenham Court Road Underground Station - For Tube Lines: Central | Northern + Elizabeth (Crossrail)* * * * *The BENEFITS you get with this flat:* FULLY FURNISHED & EQUIPPED > Cutlery, Crockery, Glassware, Pots etcplus Sofas, Dining Table, Balcony Table and Chairs, Beds and Curtains[Unfurnished properties cost several thousand pounds to fully furnish and equip]* RARE PRIVATE COVERED SUNNY BALCONY for OUTSIDE SPACE* Secondary Glazing Panels throughout keep the flat warm in Winter + quieter* Custom-fitted Thermal-Lined Black Out CURTAINS to aid sleep* In addition to Sun-diffusing, daytime privacy screening white VOILE curtainsADDITONAL BONUSES:* FREE trial of weekly, fortnightly or monthly maid + laundry service Secure quickly - tenancies agreed early will secure lower early priceThe APARTMENT comprises: Kitchen Living + Dining Room with covered all-weather Balcony 2 large double Bedrooms with bed options:- 1x Super-King + 2 Singles (as in photos), or 2x Super-Kings 1 Full Bathroom with WC, Basin and Bath over Shower 1 Guest WC and BasinSecondary Glazing throughout keeps flat warmer in Winter + quieter year roundPRICE + Flexible TERM Options > Flexibility very suitable for international students seeking less than 12 monthsYou can just stay 9 or 10 months even, but the minimum price applies below11 months @ Â£875 per week x 48 weeks = Â£42,000 (min term); OR12 months @ Â£850 per week x 52 weeks = Â£44,200 + UTILITY BILLS in addition which vary with your actual usage/supplier are:Council Tax (students may apply for full Council Tax exemption) Electricity + Water RatesTERMS:  + Rent to be paid in full in advance ASAP + A ""Good Care"" + Key Deposit of 5 weeks Rent is required prior to Key Release - either in Cash on move in date or Bank transfer at least 48 hours prior+ Utility Bills (variable) both Council Tax, Electricity + Water Rates accounts need to be set up in your name The Application Process is simple and these tips will help you, please always 1. View the Video Walk-Through Tour first to check the property is right for you before requesting an In-person Viewing (find Video at end of Photos); then 2. Answer the very basic questions required up-front in full + be paperwork ready as below.  If you do not it will delay In-Person Viewing access / application3. Should you then wish to take the property, subject to tenancy start date you may need to:  (a) Provide Photo ID and Proof of Funds to show you pass affordability checks;  (b) Pay a Holding Deposit of 1-Week's Rent while your application is processed/set-up;  (c) Schedule Rent in full payment dateBOOK YOUR VIEWING TODAY !Friendly, flexible private Landlord of 25 years experiencePLEASE NOTE THESE IMPORTANT POINTS:X NO SUB-LETTING or AIRBnB is permitted by my Freeholders :   So please do NOT enquire if you plan to do thisX NO COMMISSIONS OR ANY OTHER FEES APPLY ","£4,249.99","£3,683.33",No,             View Offers         ,No,No,No,No,No,"29 August, 2023",11 Months,No,No,No,No,Furnished,D,"[['                                        Tottenham Court Road                                    ', '                                        2 minute walk                                    '], ['                                        Tottenham Court Road                                    ', '                                        2 minute walk                                    '], ['                                        Covent Garden                                    ', '                                        7 minute walk                                    '], ['                                        Leicester Square                                    ', '                                        7 minute walk                                    ']]",,,,
"2 Bed Maisonette, St Giles High Street, WC2H"," SUPER BALCONY FLAT in CENTRAL ZONE 1 by CENTRE POINTat Oxford Street/Charing Cross Road & the NEW St Giles Square PlazaThe meeting point of Soho, Covent Garden, Bloomsbury & FitzroviaHeart of THEATRELAND & also near British Museum, Royal Opera House1 minute to Tottenham Court Road Underground Station - (Central | Northern Line & Crossrail)FULLY FURNISHED & EQUIPPED > Cutlery, Crockery, Glassware, Pots etcplus all major furniture - Sofas, Dining Table, Balcony Table and Chairs, Beds and Curtains (Unfurnished properties usually cost several thousand pounds to fully furnish and equip)The APARTMENT comprises: Kitchen Living + Dining Room with covered Balcony 2 large double Bedrooms with bed options:- 1x Super-King + 2 Singles (as in photos), or 2x Super-Kings 1 Full Bathroom with WC, Basin and Bath over Shower 1 Guest WC and BasinI am looking for a professional Single/Couple, Student(s), or retirees to look after my flat for me and appreciate it's super central location, plus take advantage of a direct with Landlord offer.TERMS:  Rent to be paid in full in advance, plus 5 weeks GOOD CARE DEPOSIT+ Utility Bills (direct to suppliers) (Council Tax, Water Rates, Electricity, TV Licence, Broadband)Strictly no sub-letting or AirBnB is permitted by my Freeholders :So please do NOT enquire if you plan to do thisVIEW TODAY ! Please CONTACT this website host in order to get passed on to me (the LANDLORD) so we can arrange a viewing todaySTRICTLY NO AGENTS NEED REPLYI ONLY WISH TO RENT DIRECT TO END USER WITH THIS ADVERT OFFERNO AGENT COMMISSION OR FEES THEREFORE PAYABLE. ","£4,375.00","£3,791.67",No,             View Offers         ,No,No,No,No,No,"28 August, 2023",11 Months,No,No,No,No,Furnished,C,"[['                                        Tottenham Court Road                                    ', '                                        2 minute walk                                    '], ['                                        Tottenham Court Road                                    ', '                                        2 minute walk                                    '], ['                                        Covent Garden                                    ', '                                        7 minute walk                                    '], ['                                        Leicester Square                                    ', '                                        7 minute walk                                    ']]",,,,
"Studio Flat, Dufours Place, W1F","                                We are proud to offer this Stunning studio flat in a great location of central London.This studio flat comes fully furnished with modern bathroom and small private balcony. Available to move in from 10 August 2023. Viewing highly recommended. SummaryRent Â£2,300.00 per month (Â£530.77 per week)Deposit / Bond is Â£2,653.84Minimum tenancy is 12 months.Maximum number of tenants is 2.                            ","£2,653.84","£2,300.00",No,             View Offers         ,No,No,No,No,No,"10 August, 2023",12 Months,,No,No,No,Furnished,C,"[['                                        Oxford Circus                                    ', '                                        7 minute walk                                    '], ['                                        Piccadilly Circus                                    ', '                                        7 minute walk                                    '], ['                                        Tottenham Court Road                                    ', '                                        11 minute walk                                    '], ['                                        Tottenham Court Road                                    ', '                                        11 minute walk                                    ']]",,,,
"1 Bed Flat, Marshall Street, W1F","                                An outstanding 1BR Regent Street Quarter Apartment with ParkingServiced with weekly cleaningAll bills includedHIGH QUALITY FURNISHINGFAST WIFIBALCONY WINDOWSSHARED GARDEN QUIET CARNABY DEVELOPMENTPOOL AND GYM NEXT DOOREnjoy Central London without commuting2 minutes from Oxford Circus underground stationQuiet Carnaby pedestrianised streetBest of both worlds!Windows along full length of apartmentPrivate courtyard facingFully equipped kitchen, stove, coffee machine, washing machineComplete bed linen and towelsJust arrive with your suitcase and you will instantly feel at home                            ","£5,490.00","£5,490.00",No,             View Offers         ,No,No,No,No,No,Today,1 Months,,No,No,No,Furnished,C,"[['                                        Piccadilly Circus                                    ', '                                        7 minute walk                                    '], ['                                        Oxford Circus                                    ', '                                        7 minute walk                                    '], ['                                        Tottenham Court Road                                    ', '                                        9 minute walk                                    '], ['                                        Tottenham Court Road                                    ', '                                        11 minute walk                                    ']]",,,,
"2 Bed Flat, Regent Loft & Penthouses, W1F"," Vast Industrial Loft Apartment in Regent Street QuarterÂ£16,000pcm or Â£8000 per bedroom | 2BR 4paxSuits the international executive and familyFeatures:Private gated Regent-style development on the east of Regent Street24/7 ConciergeServiced with weekly cleaningSecured parking with direct lift access40-meter-long landscaped courtyard viewsCommunal rooftop views over LondonAdjacent to swimming pool, gym and spaIncredibly quiet - has to be experienced to be believedInterior:Featured in interior design magazinesOver 1100 sqft of open plan entertaining areaTwo full sized en-suite bedroomsHigh quality furnishingFamily-sized marble bath suiteSolid Dinesen Douglas Fir flooringUnderfloor heatingExceptional ceiling heightFull height Crittal windowsAir-conditioningFast internet Wifi and Apple TV                            ",£0.00,"£8,000.00",No,             View Offers         ,,No,No,No,No,"01 August, 2023",1 Months,No,No,No,No,Furnished,B,"[['                                        Piccadilly Circus                                    ', '                                        7 minute walk                                    '], ['                                        Oxford Circus                                    ', '                                        8 minute walk                                    '], ['                                        Tottenham Court Road                                    ', '                                        9 minute walk                                    '], ['                                        Tottenham Court Road                                    ', '                                        11 minute walk                                    ']]",,,No,
"4 Bed Flat, Exide House, WC2H","  Modern, split level 4 bedroom apartment, less than 5-minute walk from Tottenham Court Road station.This two storey apartment in a period block consists of four double bedrooms and two large bathrooms. It comes fully furnished with an open plan kitchen, dining and living area. Finished to a high standard with real wood floors and high ceilings. On the lower floor the apartment also comes with a terrace and outdoor seats, which is an exceptionally rare bonus to have in Central London! This is an ideal location for any LSE, Kings College and UCL university students with a quick 2 minute walk to Tottenham Court Road tube station and direct links to all of these campuses.   Property is fully furnished.Minimum tenancy length is 12 months. Considering offers over Â£6500.Deposit is equal to 5-weeks rent.Viewings are required.Bills payable by Tenants: Council Tax, Gas, Electricity, Water and Wi-Fi.Available move-in date is 04/09/2023.*NO AGENT OR CORPORATE LET ENQUIRIES* ","£7,500.00","£6,500.00",No,             View Offers         ,No,No,No,No,No,"04 September, 2023",12 Months,No,No,No,No,Furnished,E,"[['                                        Tottenham Court Road                                    ', '                                        4 minute walk                                    '], ['                                        Tottenham Court Road                                    ', '                                        4 minute walk                                    '], ['                                        Covent Garden                                    ', '                                        6 minute walk                                    '], ['                                        Leicester Square                                    ', '                                        7 minute walk                                    ']]",,,,
"1 Bed Flat, Fareham Street, W1F","                                We are proud to offer this delightful 1 bedroom, 1 bathroom flat in a great location. Photos to follow shortly.Available to move in from 15 June 2023. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing! SummaryRent Â£4,500.00 per month (Â£1,038.46 per week)Deposit / Bond is Â£5,192.30Minimum tenancy is 12 monthsMaximum number of tenants is 2Photos to follow shortly                            ","£5,192.30","£4,500.00",No,             View Offers         ,No,No,No,No,No,Today,12 Months,,No,No,No,Furnished,A,"[['                                        Tottenham Court Road                                    ', '                                        4 minute walk                                    '], ['                                        Tottenham Court Road                                    ', '                                        5 minute walk                                    '], ['                                        Oxford Circus                                    ', '                                        8 minute walk                                    '], ['                                        Piccadilly Circus                                    ', '                                        10 minute walk                                    ']]",,,,
"1 Bed Flat, Vandon Court, SW1H"," *Rent includes:  superfast wifi, hot water & heating.A beautifully renovated, bright 1-bed flat on the south-facing side of Vandon Court with an open view into Caxton Street. Amazing location in the heart of London: next to St James Tube Station (District/Circle lines) and a 24/7 taxi stop; a stroll away from Buckingham Palace, Westminster Abbey, as well as beautiful St Jamesâs Park.  The buzzing restaurants scenes of Victoria/Nova and Mayfair are also a short walk away.  The building has 24/7 caretaker and lift.                            ","£3,250.00","£3,250.00",No,             View Offers         ,No,No,No,No,No,"01 September, 2023",6 Months,,No,No,No,Furnished,C,"[[""                                        St. James's Park                                    "", '                                        2 minute walk                                    '], ['                                        London Victoria                                    ', '                                        11 minute walk                                    '], ['                                        Victoria                                    ', '                                        11 minute walk                                    '], ['                                        Westminster                                    ', '                                        11 minute walk                                    ']]",,,,
