Address,Price,Let available date,Deposit,Min. Tenancy,Let type,Furnish type,Council Tax,description,features
"Archbishops Place, London, SW2","£2,700 pcm",24/08/2023,"£3,115A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Unfurnished,Ask agent,"*Most Suited for a Small Family, Couple or Two Professional Sharers*(NO HMO)Located on a quiet residential road of cottage style Victorian houses and picket fences sits this spectacular Three double bedroom semi detached house is stylish and ultra-modern and offers a lights and bright feel throughout.Located on the ground floor is a large open living room at the front of the house, good size shower room and a well designed modern kitchen with integrated white good and floor to ceiling windows.The first floor features two good sized double bedroom and a family size bathroom with large mirrored cabinets. The top floor has a large double bedroom in a converted loft space with dual aspect Velux windows and eaves storage.You won't be short of nightlife living here with all the amenities of Brixton close by including the fabulous Ritzy art house cinema and Brixton Academy, along with a huge range of shops, bars, pubs, clubs, restaurants and coffee shops to keep you entertained. There are lots of handy local shops on Brixton Hill including a post office. Nearby is also the lovely Brockwell Park, home of the famous Lido the fabulous Lambeth County show and a fantastic annual fireworks display is also within easy reach and is a great park for kids and adults alike.Transport links are excellent with Brixton tube just a 16 min walk, where the Victoria line will whisk you to Victoria in 8 mins or Central London in 10, making the daily commute a breeze. For those that prefer buses there are a large number of routes that run close by on Brixton Hill including the 45 (Clapham Park-Kings Cross), 57/N57 (Clapham Park-Kingston), 59 (Kings Cross-Streatham Hill), 109 (Brixton-Croydon), 118 (Brixton-Morden), 133 (Liverpool Street-Streatham), 159 (Paddington-Streatham), 250/N250 (Brixton-Croydon) and the 333 (Elephant-Tooting).Tulse hill Hill station is a 20 min walk away, where you can pick up the Thameslink line which will whiz you north to stations including Elephant and Castle, Blackfriars and Kings Cross or southwards to Streatham, East Croydon and beyond.  EPC rating: D. Council tax band: X,","Contemporary design, Semi detatched, Private rear garden, Three bedrooms, Quiet street, High spec interiors"
"Elephant lane , Bermondsey / Rotherhithe  SE16","£4,117 pcm",Now,"£0A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,,Ask agent,Ask agent,"--Available 3rd October--Situated by the banks of The River Thames and boasting over 1420 sq.ft of living and entertaining space this gorgeous modern town house is arranged over four floors and is stylishly and contemporary decorated throughout.Four generous double bedrooms, two modern bathrooms (+ further w.c.) charming balcony, garden, garage, double reception room, kitchen diner with fitted kitchen with dishwasher and beautiful floor to ceiling windows with stunning views of The River Thames.For transport Rotherhithe Station is moments away as well as the green open spaces of KIngs Stairs Gardens and the many delights of Shad Thames. nbsp;",
"Haverstock Hill, Belsize Park NW3","£3,650 pcm",02/10/2023,"£4,211A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Part furnished,Ask agent,"Beautiful apartment with private terrace  -  Entire raised ground floor in period conversion  -   High quality finish with wood floors  -  Bright and spacious reception  -   Lovely kitchen/diner with terrace access  -  Master bedroom with split level en suite - 2 further bedrooms  -  Family bathroom with roll top bath  -  Close to Belsize Park underground and the areas amenities  -  Council Tax: Camden band FBrochuresHaverstock Hill, Belsize Park NW3","Beautiful 2 bedroom apartment, Private roof terrace, Entire raised ground floor, Period conversion, Bright , spacious reception, Lovely kitchen diner, Master bedroom with ensuite, 2 further bedrooms, Family bathroom, Moments to Belsize park tube"
"Fairview House,  Lockgate Road, London","£4,000 pcm",01/09/2023,"£4,615A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Furnished,Ask agent,"This beautiful apartment is set within the beautiful Chelsea Creek Development. It comprises two bedrooms with two bespoke bathrooms. It comes with a stylish kitchen and modern bathrooms. The apartment also benefits from a high standard specification, built-in wardrobes and air cooling system throughout the apartment. There is a balcony providing outdoor space too.Residents have the additional benefit of exclusive membership of the private health and fitness centre, spa and swimming pool. The building itself offers excellent security with all properties having a video entry phone system, 24 hour concierge and CCTV surveillance.Chelsea Creek is home to luxurious riverside apartments that bring a characteristically European style of waterside living to Central London. A stunning location with tree-lined avenues and meandering waterways offer a refreshingly unique urban lifestyle. Just moments from your doorstep you will find local bars, restaurants and cafes of Imperial Wharf and you can shop endlessly on the nearby King's Road, Sloane Street or Westfield.Parking is available at an extra cost. Holding Deposit: £923.07BrochuresBrochure",
"Fairview House,  Lockgate Road, London","£3,000 pcm",12/09/2023,"£3,462A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,"This spacious one-bed apartment is set within the beautiful Chelsea Creek Development. It comes with a stylish kitchen and modern bathroom. The apartment also benefits from a high standard specification, built-in wardrobes and air cooling system throughout the apartment. There is a balcony providing outdoor space too.Residents have the additional benefit of exclusive membership of the private health and fitness centre, spa and swimming pool. The building itself offers excellent security with all properties having a video entry phone system, 24 hour concierge and CCTV surveillance.Chelsea Creek is home to luxurious riverside apartments that bring a characteristically European style of waterside living to Central London. A stunning location with tree-lined avenues and meandering waterways offer a refreshingly unique urban lifestyle. Just moments from your doorstep you will find local bars, restaurants and cafes of Imperial Wharf and you can shop endlessly on the nearby King's Road, Sloane Street or Westfield.Holding Deposit: £692.30BrochuresBrochure",
"Egmont Street, London, SE14","£1,850 pcm",30/09/2023,"£0A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,,Furnished,Ask agent,"Spacious Two Bedroom Ground Floor Flat With Private GardenThis lovely Newly Decorated Property comprises of; Two genuine double bedrooms, spacious Open Plan Living Kitchen area, bathroom with shower, ample storage space throughout and direct access to a private garden.Early viewings strongly recommended!Please contact a member of our friendly lettings team for more information.Location:Conveniently located, Egmont street is less than 10 mins walk from New Cross Station Gate station and is within walking distance of a wide variety of local amenities for one to choose from.BrochuresWeb Details",
"Cavendish Street, Hoxton, Islington, London, N1","£3,100 pcm",15/08/2023,"£3,576A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Furnished,Ask agent,"Stylish Three Double Bedroom Apartment with a Private Garden in HoxtonLiving space is arranged over two levels, the first floor comprising a bathroom, a very well apportioned fitted kitchen with a wooden finish and space to dine is accompanied by a large reception room with a direct access to a well kept private garden.The upper floor contains three double bedrooms and a WC. All bedrooms are fully furnished with new beds, wardrobes and bedisde tables.Sylvia Court is an outstanding location, close to the amenities of Angel, Old Street and the city of London.Deposit: £3,576,Counicl tax band: C","Three Bedroom Maisonette, Private Garden, 838 sq ft/278 sqm, Available 3rd August, Excellent Condition, Fully Furnished, Numerous Transport Links Nearby, Split Level"
"Idmiston Road, Stratford, E15","£1,750 pcm",05/08/2023,"£2,019A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Unfurnished,Ask agent,"Bairstow eves Stratford are very pleased to bring this two bedroom, maisonette to the market for rent on a sole agency basis.The property is comprised of being neutrally decorated throughout, good size lounge, seperate kitchen, clean and bright bathroom, one large double and one single bedroom, shared rear garden, peaceful location with great transport links.Stratford is a town in East London, England, within the London Borough of Newham. Part of the Lower Lea Valley, Stratford is situated 6 miles (9.7 km) east-northeast of Charing Cross, and includes the localities of Maryland and East Village.Historically, part of the parish of West Ham, which formed an ancient parish in the hundred of Becontree in Essex. Following reform of local government in London in 1965, the parish and borough of West Ham was abolished, becoming part of the borough of Newham in the newly formed Greater London.Stratford grew rapidly in the 19th century following the introduction of the railway to the area in 1839, forming part of the conurbation of London, similar to much of south-west Essex. The late 20th century was a period of severe economic decline in the area, eventually reversed by ongoing regeneration associated with the 2012 Summer Olympics, for which Stratford's Queen Elizabeth Olympic Park, part of the large, multi-purpose Stratford City development, was the principal venue. The Westfield Stratford City shopping centre, one of the largest urban shopping centres in Europe, opened in 2011. Stratford is east London's primary retail, cultural and leisure centre, and has also become the second most significant business location in east London after Canary Wharf. Council Tax Band:  Holding Deposit: £403.00","FIRST FLOOR TWO BEDROOM MAISONETTE, UNFURNISHED, GOOD SIZE LOUNGE, 1 DOUBLE & 1 SINGLE BEDROOM, FULLY FITTED KITCHEN, CLEAN & BRIGHT BATHROOM SUITE, LARGE SHARED GARDEN, GAS CENTRAL HEATING, PEACEFUL LOCATION, AVALABLE EARLY AUGUST 2023"
"Sloane Avenue, London, SW3","£2,578 pcm",25/09/2023,"Ask agentA deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Furnished,Ask agent,"This bright One-Bedroom apartment is situated on the second floor of Nell Gwynn House, a popular mansion 24 hour concierge block on Sloane Avenue close to the amenities of South Kensington and Chelsea.  The apartment benefits from wood flooring throughout, comprising an open plan reception with dining space and a fully-fitted modern kitchen.  The property affords plenty of natural light throughout, giving it an airy feel.  Rent includes Hot Water and Heating.  Sloane Avenue is a sought after destination in South West London, close to the boutique shops, popular restaurants, cafes and lively bars of South Kensington. Knightsbridge is a short journey away and offers world-famous shopping stores such as Harrods and Harvey Nichols.  The property enjoys easy access to Sloane Square Underground Station and South Kensington Underground Station.","1 Bedroom, 1 Bathroom, Wood flooring throughout, Open plan reception , Close to the amenities of South Kensington and Chelsea, Dining space , Fully-fitted modern kitchen, Close to Sloane Square and South Kensington Underground Station, 24 hour Concierge, Hot Water and Heating included"
"Grove Road, Walthamstow, London, E17","£1,995 pcm",29/07/2023,"£2,200A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Unfurnished,Ask agent,"A bright and brilliant two bedroom ground floor apartment on a charming street in a prime Walthamstow Village location.This ground floor home benefits two great size bedrooms, spotless decor and a separate reception room with an open plan kitchen area. On your door stop offers Walthamstow's popular Village where you can take your early morning stroll on those bright summer mornings. IMPORTANT NOTE TO POTENTIAL PURCHASERS & TENANTS: We endeavour to make our particulars accurate and reliable, however, they do not constitute or form part of an offer or any contract and none is to be relied upon as statements of representation or fact. The services, systems and appliances listed in this specification have not been tested by us and no guarantee as to their operating ability or efficiency is given. All photographs and measurements have been taken as a guide only and are not precise. Floor plans where included are not to scale and accuracy is not guaranteed. If you require clarification or further information on any points, please contact us, especially if you are traveling some distance to view. POTENTIAL PURCHASERS: Fixtures and fittings other than those mentioned are to be agreed with the seller. POTENTIAL TENANTS: All properties are available for a minimum length of time, with the exception of short term accommodation. Please contact the branch for details. A security deposit of at least one month’s rent is required. Rent is to be paid one month in advance. It is the tenant’s responsibility to insure any personal possessions. Payment of all utilities including water rates or metered supply and Council Tax is the responsibility of the tenant in every case. WLT230114/2BrochuresWeb Details","First Floor Apartment, Heart Of The Village, Fully Furnished, Modern Decor, Private Section Of Garden, 12 Month Tenancy +, EPC Rating C, Council Tax Band C"
"Cube Building, Wenlock Road, London, N1","£2,600 pcm",25/08/2023,"£0A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Furnished,Ask agent,"Large OneBedroom apartment based in the awardwinning Cube Building development set just of City Road moments from Old Street roundabout.This corner apartment offers a great space throughout, both internally and externally, with a large wrap around private terrace.Finished to a high standard throughout, the one-bedroom home offers a large double bedroom, a beautiful modern bathroom and a bright open-plan living/diner kitchen.Offering modern interiors; with hardwood flooring with under floor heating and high quality built-in appliances, fixtures and fittings, integrated wardrobes and designer bathroom.The large wrap-around private terrace offers a fantastic entertaining space, or relaxation area with unobstructed views of the canal and the city. Residents can enjoy lovely canal walks, with direct access from the development.Situated in a highly desired location, this development benefits from a day time concierge service, a multitude of amenities with in close proximity, and ideally placed giving only a short walk between both Angel and Old Street Underground Stations.BrochuresProperty Brochure","Close to public transport, Fully Furnished, Shops and amenities nearby, River view, Highly Desired Location, Elevator"
"Trinity Church Road, 
Barnes, SW13","£2,400 pcm",31/07/2023,"£2,769A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",12 months,Long term,Part furnished,Ask agent,"A rare opportunity to let a two bedroom apartment located in Caldwell House, on the ever-popular Barnes Waterside development.This property features a balcony terrace, two bedrooms, a spacious reception room and two bathrooms. Caldwell House allocates each of its residents a parking space as well offering communal gardens.This newly decorated apartment can be found a short distance away from some excellent schools including St. Paul's Boys, Colet Court, The Harrodian and The Swedish School.Transport can be found from Hammersmith Station with access to a multitude of buses and London underground services. Barnes and Barnes Station also offer over-ground train services.Our China Desk is here for you, if Chinese is your preferred language, please get in touch via WeChat (ChestertonsChinaDesk)BrochuresSuper-size images and Full Online Details --- ",
"Triptych Bankside, Park Street, London, SE1","£3,142 pcm",01/08/2023,"£3,625A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Furnished,Ask agent,"A new mixed-use development designed by internationally acclaimed London architects Squire & Partners, Triptych Bankside is a luxury architectural destination on the vibrant Southbank.   Comprising of two residential towers with 169 residences. Every home has outside space and the undulating curves of the façade create a new architectural narrative against the symmetrical towers that currently comprise the London skyline. The overall layout of the site has been meticulously planned to positively contribute to the local townscape and sense of place. This creates a seamless integration, with varied spaces to be enjoyed by residents.  Triptych Bankside provides residents with an uncompromising selection of five-star style services and private amenities, ensuring holistic wellness of both body and mind. Residents benefit from the bespoke service of the 24 hour concierge, stunning landscaped gardens, cinema and games rooms, private lounge and workspace.  Walk the scenic route into the City of London via the famous Millennium Bridge or enjoy a leisurely riverside stroll along the Southbank. Alternatively, three key transport hubs are within easy walking distance and offer seamless connectivity via bus, London Underground or National Rail.","Brand new Development, Vibrant Location, Selection of Apartments Available, Workspace, Outside Space, Concierge, Landscaped Gardens, Cinema, Games Room, Private Lounge"
"Larkshall Road, Highams Park, E4","£1,600 pcm",19/08/2023,"£1,846A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Ask agent,Ask agent,"AVAILABLE MID AUGUST. Three bedroom family house to rent. The property is ideally located being just a short walk to Highams Park village center. Internally you will two large reception rooms with a separate kitchen, three bedrooms, separate WC and bathroom. Externally there is a rear private garden and to the front parking for upto two cars.Rarely available an early viewing is strongly advisable.  All sizes are approximate. The Agent has not tested any apparatus, equipment, fixtures and fittings, or services and so cannot verify that they are in working order or fit for the purpose. A buyer is advised to obtain verification from their Solicitors or Surveyor. Photographs are for illustration purposes only and may depict items, which are not for sale or included in the sale price. References to tenure of a property are based upon information supplied by the vendor. The agent has not had sight of the title documents, a buyer is advised to obtain verification from their solicitor. Money Laundering Regulations 2003: Intending purchasers will be asked to produce identification, documentation at a later stage and we would ask for your co-operation in order that there will be no delay in agreeing the sale.","Available Mid August, Family Home, Three Bedroom, Garden, Parking"
"Adana Building, Conington Road, Lewisham, London, SE13","£1,625 pcm",14/08/2023,"£0A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Furnished,Ask agent,"Quality furnished one bedroom apartment located within the prestigious Silkworks development in Lewisham.  The apartment benefits from wooden floors and balcony overlooking the courtyard along with features such as concierge and residents gymnasium.  Available 14th August.  EPC - B.  Council Tax band B - £1,413.07 p.a. 2023/34",
"5 Belvedere Road, London, SE1","£7,367 pcm",Now,"£8,500A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Furnished,Ask agent,"The flat is available fully furnishedLuxuriously finished throughout this two bedroom, two bathroom apartment offers spacious lateral living accommodation and enjoys a private, river facing terrace, with views of the Thames and The London Eye, with secure underground parking and storage area. Located on the third floor of Belvedere Gardens in the Landmark Southbank Place development accommodation comprises of a spacious entrance hallway with built in storage on arrival into the apartment. From the hallway leads the main reception room with herringbone solid wood flooring and coffered ceiling detail. Pocket doors separate the beautifully designed kitchen from the living space, which includes hidden Miele appliances, soft close storage and stone countertops as well as access to a large utility room. Floor to ceiling windows slide open to access the private terrace with superb views over the River Thames and the London Eye. Residents at Southbank Place enjoy a 5* concierge service as well as extensive residents Gym and SPA facilities. Location: Southbank Place is in located in one of Londons most connected locations, opposite Westminster and the Houses of Parliament on the vibrant Southbank of the River Thames. Waterloo Station is moments from Belvedere Gardens with access to the Jubilee, Bakerloo and Northern Line Underground lines as well as main line rail services. Charing Cross Station and the Embankment Station are just across the river via the Golden Jubilee Bridges. Westminster, St Jamess and The West End are just a short walk away giving access to the best Restaurants, Galleries and Theatre that London has to offer.","Fully Furnished, Gym, Mezzanine, Swimming Pool, Shops and amenities nearby, Video Entry, Guest cloakroom, Fitted Kitchen, En suite, Un-Furnished"
"Bethnal Green Road, London, E2","£3,250 pcm",28/07/2023,"£0A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Furnished,Ask agent,"Available now, located on Bethnal Green Road a short walk from Brick Lane, vibrant Shoreditch High Street and Columbia Road is this furnished 3 bedroom flat. The property which is split ove 2 floors comprises separate modern kitchen, reception, three doubles, tiled bathroom and terrace.","Deposit £4030, EPC Rating D, Council tax band C, Furnished 3 bedroom flat, Available now, Located moments from Brick Lane, close to Shoreditch High Street station"
"Inwen Court, Grinstead Road, Deptford , SE8","£1,500 pcm",Now,"£1,730A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Furnished,Ask agent,"Fabulous ONE BEDROOM FIRST FLOOR APARTMENT located within a quiet development, this property comprises of an SEMI OPEN PLAN LIVING ROOM / KITCHEN with fitted appliances, excellent sized master bedroom and modern THREE PIECE BATHROOM SUITE. Available late July 2023EPC C Council Tax Band Lewisham B IMPORTANT NOTICE: Key Property Consultants , their clients and any joint agents give notice that:1. They are not authorised to make or give any representations or warranties in relation to the property either here or elsewhere, either on their own behalf or on behalf of their client or otherwise. They assume no responsibility for any statement that may be made in these particulars. These particulars do not form part of any offer or contract and must not be relied upon as statements or representations of fact.2. Any areas, measurements or distances are approximate. The text, photographs and plans are for guidance only and are not necessarily comprehensive. It should not be assumed that the property has all necessary planning, building regulation or other consents and Key Property Consultants have not tested any services, equipment or facilities. Purchasers must satisfy themselves by inspection or otherwise.3. Floor plans – FOR IDENTIFICATION ONLY. Measurements and location of rooms, windows, doors etc. is approximate and should not be relied upon.Key Property Consultants Limited. The Fold, 114 Station Road, Sidcup, Kent. DA15 7AE","Fully Furnished, Fantastic Location , Apartment, Fitted Kitchen, One Double Bedroom , Communal Garden, Off Street Parking"
"Bethnal Green Road, London, E2","£3,250 pcm",Now,"£4,038A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Furnished,Ask agent,"Located on the ever-evolving Bethnal Green Road is this 3 bed, 1 bath split level maisonette spanning 862 sq ft (approx).Boasting high ceilings and plenty of natural light you enter the apartment and are immediately welcomed into the sizeable, yet cosy lounge. The neighbouring kitchen boasts an abundance of surface space for cooking, is fully equipped with appliances and leads directly onto the private roof terrace. The first double bedroom is located adjacent to the lounge whilst the remaining two double bedrooms are on the top floor, each of which are very will sized, and offer plenty of storage. The immediate area is home to many high end boutiques, shops, bars & cafes of Shoreditch whilst being moments from Hoxton Square, Spitalfields, Brick Lane, and Columbia Road markets. Shoreditch High Street Station is a few minutes along the road while Liverpool Street Station (Hammersmith & City, Circle, District and Central lines, British Rail) and Old Street (Northern Line & National Rail) are moments away.","Split level maisonette, Private roof terrace, Close to transport"
"St. John Street, London, EC1V","£4,750 pcm",Now,"£6,576A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,"A newly refurbished warehouse apartment in this sought after converted shoe factory in the heart of Clerkenwell.The apartment provides generous accommodation extending to some 1,235 sq ft (115 sqm) and comprises; a generous reception room with open plan kitchen and raised dining area, two double bedrooms both with walk-in wardrobes, and two fully tiled, refurbished bathrooms (one of which ensuite). St John Street was built in the early 1900s by Boreham, Son and Wallace as a warehouse for The United Yeast Company, before it became the headquarters of the Scholl Manufacturing Company in the early 1930s. The building was later converted into lofts in the 1990s, with the added benefits of lift access to all floors and allocated off street parking. The apartment is conveniently located close to a variety of bars, restaurants, shops and supermarkets, with Farringdon tube station being only a short walk away. Available on a furnished, part furnished or unfurnished basis.","Two bedrooms, Two bathrooms, Generous reception room, Fully integrated kitchen, Lift access, Allocated off street parking, Newly refurbished, Offered furnished, unfurnished or part furnished, Available: Now"
"Alexandra Road, London, SW19","£2,100 pcm",31/07/2023,"£2,423A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Unfurnished,Ask agent,"Welcome to this exceptional ground floor apartment, situated in a prime location mere moments away from Wimbledon train station. Set within an attractive Victorian conversion, this property offers an ideal combination of character and modern living. Upon arrival, you'll be greeted by a front driveway boasting a dedicated parking space, providing the utmost convenience. Gated side access leads to a charming rear garden, creating a peaceful retreat for residents.Upon entering the apartment through a shared entrance hallway, specifically serving the ground floor and first-floor apartments, you'll find your own front door opening to a welcoming entrance hallway. From here, each room effortlessly flows, offering comfortable and functional living spaces.At the front of the apartment, an elegant living area awaits, adorned with partial shutters that allow natural light to filter through. The exposed wooden floorboards add a touch of warmth and character to the space. A breakfast bar separates the living area from the well-equipped kitchen, which boasts ample storage and workspace. Additionally, a window to the side illuminates the area, creating a bright and airy atmosphere.Towards the rear of the apartment, you'll discover a spacious master bedroom boasting dual aspect windows, filling the room with an abundance of natural light. This peaceful sanctuary offers ample space for relaxation and personalization. Nestled in the heart of the apartment, a second bedroom, perfect for a single occupant or as a cozy study, features doors providing convenient access to the delightful rear garden.This remarkable property also offers a spacious cellar, providing valuable storage space for belongings. The fully tiled bathroom is fitted with both a bath and shower, combining functionality with style. The presence of underfloor heating ensures a cozy and luxurious experience.The rear garden, accessible through the second bedroom, presents an inviting outdoor haven. The predominantly decked area provides a low-maintenance space, ideal for al fresco dining, entertaining guests, or simply unwinding amidst the serene surroundings. Fully enclosed by hedges, the garden guarantees privacy, creating a peaceful retreat in the heart of the city.Moreover, this apartment benefits from gas central heating throughout, ensuring a warm and comfortable atmosphere year-round. The underfloor heating in the bathroom adds an extra touch of luxury to your daily routine.Conveniently located in close proximity to Wimbledon train station, commuting and exploring the surrounding area couldn't be easier. Excellent transport links connect you to various destinations, making this property an ideal choice for professionals and commuters alike. Ely's Shop, a popular local store, is just a short stroll away, providing convenience for your everyday needs. Furthermore, a plethora of shops, restaurants, and amenities can be found in the vicinity, allowing for a vibrant and diverse lifestyle.For those seeking recreational activities, Wimbledon Village is within easy reach. This charming neighborhood offers a wealth of boutique shops, cozy cafes, and renowned restaurants, providing a delightful setting for leisurely strolls and socializing. Nature enthusiasts will appreciate the proximity to Wimbledon Common, a picturesque expanse of greenery offering beautiful walking trails and outdoor pursuits.In summary, this exceptional ground floor apartment offers an incredible opportunity to experience contemporary living within a period conversion. With its prime location near Wimbledon train station, delightful garden, and an array of local amenities, this property is truly a remarkable find. Don't miss the chance to make this your new home.",
"Greycoat Street, London, SW1P","£2,123 pcm",Ask agent,"Ask agentA deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Furnished,Ask agent,l,"balcony , Great location"
Spacious first floor flat available at Timsbury Walk.,"£2,500 pcm",31/08/2023,"Ask agentA deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,,Furnished,Ask agent,"Lawsons and Daughters Estate Agents are delighted to introduce this spacious first floor flat with three double bedrooms on Timsbury Walk. The property comprises of good-sized reception room/ fully fitted Kitchen and a Bathroom with shower over bath. The property does also benefit from a separate WC. Ideally located to local amenities, great for professional sharers or students. The property is offered fully furnished. Available from end of August.BrochuresFull Details","3 bedrooms, 2 bathrooms, separate reception, EPC Rating: D, Council Tax Band: A"
"Warren Court, Euston Road, London, NW1","£3,142 pcm",23/09/2023,"Ask agentA deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,"Video available. Spacious and modern 2nd floor (with lift) two double bedroom apartment, in an excellently located building for UCL, Regents Park, shops, restaurants and transport links. Gas charge £35pw. Available from 23rd September",
"Clarendon Gardens, Little Venice, W9 ","£5,417 pcm",28/09/2023,"£7,500A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Unfurnished,Ask agent,"A contemporary two double bedroom duplex garden apartment offered in immaculate condition throughout and featuring its own private entrance, conveniently located on a quiet residential tree lined street just 0.1 miles from the Regent's Canal, the transport links of Warrington Gardens Underground station (Bakerloo Line) and the shops and cafes on the popular Clifton Road. The apartment comprises a large reception room with open plan kitchen/dining room opening onto a decked garden, principal bedroom with dressing room, mezzanine study area and en-suite bathroom, further double bedroom and a steam room. Council Tax Band: G | Security Deposit Required: £7,500.00 | Holding Deposit Required: £1,250.00 (Deposits displayed based on an Assured Shorthold Tenancy Agreement).","Double Reception Room, Eat-in Kitchen, 2 Double Bedrooms, En Suite Bathroom, Shower Room, Private Decked Patio, Permit Parking"
"Bethnal Green Road, London, E2","£3,250 pcm",Now,"Ask agentA deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Furnished,Ask agent,"We are pleased to offer for rent this 3 double bedroom duplex apartment with roof terrace located moments to Brick Lane, Shoreditch, Spitalfields and The City.   Split over two levels with private roof terrace, separate kitchen and reception room, three double bedrooms and offered furnished. Located 3 mins from Shoreditch High Street Station and 4 mins Bethnal Green Station.   Available 21st July",
"St Mary's Mansions, W2","£3,878 pcm",Now,"Ask agentA deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,"A spacious three bedroom, raised ground floor flat set within an attractive mansion block conveniently located to local amenities and Warwick Avenue underground station (Bakerloo line - 0.4 miles). Not suitable for sharers.BrochuresBrochureBrochure","Three Bedrooms, Bathroom, Shower Room, Guest WC, Reception Room, Kitchen/Dining Room, Not Suitable For Sharers"
"Windsor Square, Woolwich, SE18","£2,150 pcm",01/09/2023,"Ask agentA deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Furnished,Ask agent,"Stylish, spacious apartment set on the 8th floor of Windsor Square, situated within Royal Arsenal Riverside Development in the heart of Woolwich Arsenal. The property enjoys easy access to several transport stations, with Woolwich Overground train, Woolwich DLR, and Woolwich Cross Rail Elizabeth Line. There are plenty of local buses available along the area.  This impeccable apartment is offered on a furnished basis and has been stylishly decorated throughout with contemporary furnishings. It comprises a large open plan reception room with dining space and sizeable floor-to-ceiling windows affording lots of natural daylight into the property; a generous fully fitted modern kitchen with well-known integrated appliances, bedroom with built-in wardrobe, and luxurious bathroom, internal storage room, utility room, and a private balcony-terrace accessible from the reception room and bedroom.  Further benefits include air ventilation system, double glazed windows, hardwood floors in the reception room, luxury comfort carpet in the bedroom. Underground parking by separate negotiation.  The development offers 24 hours security, concierge, CCTV, lift access, residents' lounge, meeting room, reading area, beautiful swimming pool, spa, top-end fully equipped onsite gym facility, communal gardens, and high-spec cineplex (personal Blu-ray disc on demand) Nearby amenities include a selection of theatres, lively bars, nightclubs, restaurants, and cafes. EPC-B","1 Double Bedroom Apartment with Built in Wardrobe, Fully Fitted Integrated Kitchen with Well Known Appliances, Reception Room with Dining Area & Floor to Ceiling Windows, Resident Swimming Pool, Spa, Air Ventilation / Double Glaze Windows, EPC-TBC, Gym, Cinema and Lounge, Close to Amenities, Minutes to Woolwich DLR and Elizabeth Line Cross Rail"
