title,address,link,Property type:,City:,Bedrooms:,Price:,Furnished:,description,latitude,longitude,Bathrooms:,Area:,Price per m²:,Deposit:,Available from:,Elevator:,Washing machine:,Dish washer:,Pets allowed:,Garage:,Terrace:,Swimming pool:,Balcony:
Rent 3 bedroom apartment in London,3 Bed Apartment 32 Westferry Circus London E14,https://rentola.com/listings/3-bed-apartment-32-westferry-circus-london-e14-5d2043,Apartment,London,3,3943 €,Yes,"Westferry Circus. E14. Luxurious two bedrooms apartment available in Canary Wharf. This apartment has been completed to exceptionally high standards offering two double bedrooms with one of the bedroom having an en-suite and a walk-in wardrobe, contemporary family bathroom, spacious kitchen with marble worktops, lounge, leading to a spacious decked terrace with riverview. All mood cons, spot light. Property is just by the border of a stone throw from Westferry Station offering various trendy restaurants bars, cafes and shops. Ideal for a small family or professionals looking for a luxurious apartment .Call to arrange a viewing. One Week Rent",51.4964433716757,-0.0165482551230742,3,,,,,,,,,,,,
Rent 1 bedroom apartment in London,1 Bed Apartment New Quebec Street London W1H,https://rentola.com/listings/1-bed-apartment-new-quebec-street-london-w1h-7a9fed,Apartment,London,1,1530 €,,"New Quebec St. W1H. Presenting this luxury one double bedroom flat on the 1st floor of the modern block of apartments is located in the heart of Marble Arch and close proximity to a wide range of highly desirable amenities of West End. This apartment comprises specious living room and modern fitted kitchen with washing machine, cooker etc. One double size bedroom full of natural light. Kitchen/Living Room Shower/ WC Oak Wooden flooring throughout Build in wardrobed Fully furnished Electricity bills is included into the rent. Information on the property description and on http://www.merlincooper.co.uk/tenant-guide",51.5167844,-0.1628057,1,,,,,,,,,,,,
Rent 3 bedroom apartment in London,3 Bed Apartment Belsize Road London NW6,https://rentola.com/listings/3-bed-apartment-belsize-road-london-nw6-588138,Apartment,London,3,2389 €,Yes,"WE ARE SEEKING OFFERS OVER £515PW!!! Belsize Road. NW6. Newly refurbished three double bedroom purpose built flat. This property offers three double bedrooms with a room as an en-suite, a separate eat- in kitchen dinner, spacious and bright living room and a family bathroom. Offered Furnished or Unfurnished. Close to transport and local amenities. 1 week rent",51.5553852520573,-0.194072593900401,2,,,,,,,,,,,,
Rent 4 bedroom apartment in London,4 Bed Apartment Lombard Road London SW11,https://rentola.com/listings/4-bed-apartment-lombard-road-london-sw11-c4aabe,Apartment,London,4,3747 €,Yes,"Luxurious Four Bedroom Apartment – Three Bathroom (Two en-suite) – Stunning Open plan Kitchen - Marble Kitchen Tops – Wrap Round Decked Terrace – Riverview – 10 Minutes Walk To Clapham Junction Station – Close Proximity to Trendy Restaurants Shops And Bars Lombard Road. SW11. A luxurious four bedrooms apartment is available in Battersea. This apartment has been completed to exceptionally high standards offering four double bedrooms with two of the bedroom having an en-suite, contemporary family bathroom, spacious open -plan kitchen lounge with marble worktops, leading to a spacious wrap-around decked terrace with a Riverview. All mood cons, spotlight which can be changed to various colours using a remote control and an allocated parking space. Property is just by the border of Chelsea and Battersea, less than five minute’s walk to Battersea high street offering various trendy restaurants bars, cafés, and shops about ten minute’s walk to Clapham Junction Station Must see. Ideal for a small family or professionals looking for a luxurious apartment Information on the property description and on http://www.merlincooper.co.uk/tenant-guide",51.5073219,-0.1276474,3,,,,,,,,,,,,
Rent 3 bedroom apartment in London,3 Bed Apartment Hendon Way London NW2,https://rentola.com/listings/3-bed-apartment-hendon-way-london-nw2-a42173,Apartment,London,3,1484 €,Yes,"Hendon Way. NW2.Two double bedrooms(or 3 bedroom with no living room) available in Brent Cross. This property offers two double bedrooms, spacious living room, separate kitchen, private balcony, bathroom, separate toilet, communal garden and a parking space complements it. Property is less than 5 minutes to Brent Cross Station and the Brent Cross shopping mall, offering access to numerous shops restaurants and bars. Highly recommended.Call to arrange a viewing. Information on the property description and on http://www.merlincooper.co.uk/tenant-guide",51.560037522629,-0.218003834813791,1,,,,,,,,,,,,
Rent 2 bedroom apartment in London,2 Bed Apartment Tabor Road London W6,https://rentola.com/listings/2-bed-apartment-tabor-road-london-w6-d10f66,Apartment,London,2,1646 €,Yes,"Tabor Road. Two bedroom apartment available to rent in Brackenbury Village. . This property offers two spacious double bedroom, living area, fully fitted kitchen diner, three piece bathroom and a spacious patio complements it. Easy access to local amenities and less than Ten minutes’ walk to Shepherds Bush station..Call Monochrome Consultants on [HIDDEN] to arrange a viewing. Information on the property description and on http://www.merlincooper.co.uk/tenant-guide",51.4982994792151,-0.225354835343001,1,,,,,,,,,,,,
Rent 2 bedroom apartment in London,2 Bed Apartment Aliwal Road London SW11,https://rentola.com/listings/2-bed-apartment-aliwal-road-london-sw11-ae247e,Apartment,London,2,2203 €,Yes,"Aliwal Road.SW11.Fantastic two double bedroom furnished split level flat in the heart of Clapham Junction. Ideal location, next to the high street and only 3 minute walk to Clapham Junction train station. Dozens of shops, bars and restaurants on the door step. Also multiple grocery stores within a few minutes walk. Both bedrooms are double and large enough for a couple to share. Large living room with two double sofas and bay window. Bathroom has bath and shower. Separate kitchen with cooker, gas hob, fridge freezer, washing machine, dishwasher, table and 4 chairs. Exposed floorboards throughout majority of the flat which provides great character. Ample storage space. Has Sky TV connection (tenants to pay subscription cost if desired). Price stated excludes all bills. 1 week rent",51.5073219,-0.1276474,1,,,,,,,,,,,,
Rent 2 bedroom apartment in London,2 Bed Apartment Kennington Oval London SE11,https://rentola.com/listings/2-bed-apartment-kennington-oval-london-se11-503d14,Apartment,London,2,1902 €,Yes,"Kennington Oval. SE11. Property offers a spacious open plan kitchen, two spacious bedrooms and a bathroom. Five minutes’ walk Vauxhall/tube/mainline (zone 1).  Less than 3 minutes’ walk to minutes Oval tube, local Tesco and local bars and restaurants of Kennington Cross. Building also offers a large communal roof terrace, offering the best real estate cricket view in the country and a communal bike sheds, motorbike parking etc. Video door entry system and keyless security system. Solid oak floors, halogen lighting, double oven, stylish curtains. An exceptional period building (locally listed) on a quiet residential street. Information on the property description and on http://www.merlincooper.co.uk/tenant-guide",51.5073219,-0.1276474,1,,,,,,,,,,,,
Rent 3 bedroom apartment in London,3 Bed Apartment Dodson Street London SE1,https://rentola.com/listings/3-bed-apartment-dodson-street-london-se1-180266,Apartment,London,3,2203 €,,"Dodson Road. SE1. Presenting this split level, 3 bedrooms flat only 10 minute’s walk from Waterloo Station. Property offers three large bedrooms, separate lounge, three-piece bathroom and a fitted kitchen with all appliances such as fridge, washing machine and a dishwasher. Also a good sized balcony complements it.  The property is situated on a residential road with local amenities nearby. There is also parking available to the front of the property. Great property in an even better location. Very close to St Thomas's hospital Information on the property description and on http://www.merlincooper.co.uk/tenant-guide",51.49472385,-0.0875583147922619,1,,,,,,,,,,,,
Rent 1 bedroom apartment in London,1 Bed Apartment Petherton Road London N5,https://rentola.com/listings/1-bed-apartment-petherton-road-london-n5-16f78a,Apartment,London,1,1623 €,,"Close to local amenities, trains and buses. 1 WEEK RENT",51.4808232,-0.47491841546643,1,,,,,,,,,,,,
Rent 3 bedroom apartment in London,3 Bed Apartment Bankton Road London SW2,https://rentola.com/listings/3-bed-apartment-bankton-road-london-sw2-682773,Apartment,London,3,2783 €,Yes,"Bankton Road. SW2. Three bedrooms flat available in Brixton. This property offers three double bedrooms, fully fitted spacious open plan kitchen lounge, two bathroom, cellar space for storage and good size patio garden. Property is close to local amenities and Brixton Village is close by. Highly recommended. Call to arrange a viewing. 1 week rent",51.4466649239877,-0.117451430698705,2,,,,,,,,,,,,
Rent 3 bedroom apartment in London,3 Bed Apartment Dunrobin Court London NW3,https://rentola.com/listings/3-bed-apartment-dunrobin-court-london-nw3-911f1d,Apartment,London,3,2667 €,Yes,"Finchley Road,NW3, Lovely tthree double bedroom flat on the 4 floor of a purpose built block with a lift. Property offers three double bedrooms (one en suite), as well as a family bathrooms, spacious open plan reception room with integrated kitchen, extra storage throughout, a large garden at the back, an excellent view of a cricket field and tennis courts at the back, Property is close to local amenities and just 4minutes walk to Finchley Road Station and less than 11 minutes walk to Hampstead underground Station. Fully furnished. Call Merlin Cooper to arrange a Viewing. ONE WEEK RENT",51.5518913,-0.1860596,2,,,,,,,,,,,,
Rent 2 bedroom apartment in London,2 Bed Apartment Marylands Road London W9,https://rentola.com/listings/2-bed-apartment-marylands-road-london-w9-e55f49,Apartment,London,2,1739 €,Yes,"Marylands Road. W9.Spacious two double bedroom flat available in Maida Vale. Property boasts of two double bedrooms (No living room), spacious eat in kitchen diner and a three-piece bathroom. Close to local amenities and equidistance to Maida vale and Warwick Tube Stations. MUST SEE Information on the property description and on http://www.merlincooper.co.uk/tenant-guide",51.5238495,-0.1939926,1,,,,,,,,,,,,
Rent 2 bedroom apartment in London,"Property in Fulham Road, London, SW3",https://rentola.com/listings/property-in-fulham-road-london-sw3-8007bf,Apartment,London,2,5102 €,,"Description
Refurbished: 2 Double Bedrooms: 1 Bathroom: Fully Fitted Kitchen: Bright Reception Room: Lifts: 1st Floor: Porter: Video Entry: 1020sq ft.
Stunning two-bedroom apartment located in a private portered building in the heart of South Kensington. The apartment comprises a fantastic 21ft reception area, perfect for entertaining leading on to an open-plan modern kitchen with fully integrated Neff appliances and stone worktops. Floor to ceiling windows across one side of the reception room bring a wonderful sense of space and fill the room with an abundance of natural light.
Both double bedrooms offer ample storage space, with the master bedroom featuring an en-suite bathroom with raindrop shower and automatic sensor lighting. The family bathroom also features a raindrop shower over the bath and automatic lighting.
This apartment is perfectly located moments from the popular restaurants of South Kensington, Knightsbridge and Sloane Square/Kings Road. The area is a hive of local activity with museums, many designer stores and excellent transport links.
Viewing
Please contact us on [HIDDEN] if you wish to arrange a viewing appointment for this property, or require further information.
Disclaimer
Orah Real Estate endeavour to maintain accurate depictions of properties in Virtual Tours, Floor Plans and descriptions, however, these are intended only as a guide and purchasers must satisfy themselves by personal inspection.",51.49199,-0.17127,1,,,,,,,,,,,,
Rent 2 bedroom apartment in London,"Property in Bloomsbury Way, London, WC1A",https://rentola.com/listings/property-in-bloomsbury-way-london-wc1a-f4c07f,Apartment,London,2,3015 €,,"Description
Interior designed: All bills included: Super fast Internet: Luxury: 2 Double bedroom: Luxury bathroom: Fully fitted kitchen: Living room: Dining area: Spacious: Wooden flooring: Excellent location.
Luxury interior designed Two double Bedroom flat located in the heart of Bloomsbury. The flat has been interior designed to an exacting standard, and is bright, light and airy throughout. The flat comprises of two large double bedrooms, open plan bespoke kitchen leading to a spacious living room and dining area and a luxury bathroom.
The flat is located in a secure building in the heart of Bloomsbury, moments away from Holborn tube station, the British Museum, the plethora of amenities of Covent Garden, Oxford Street and Kings Cross. The property is also well located for St Pancras station with Direct train Links to Paris and Amsterdam. A selection of London's esteemed educational institutions are also close by.
Viewing
Please contact us on [HIDDEN] if you wish to arrange a viewing appointment for this property, or require further information.
Disclaimer
Orah Real Estate endeavour to maintain accurate depictions of properties in Virtual Tours, Floor Plans and descriptions, however, these are intended only as a guide and purchasers must satisfy themselves by personal inspection.",51.51749,-0.12515,,,,,,,,,,,,,
Rent 2 bedroom apartment in London,"Property in Fulham Road, London, SW3",https://rentola.com/listings/property-in-fulham-road-london-sw3-d925a0,Apartment,London,2,3293 €,,"Description
Refurbished: 2 Double Bedrooms: 1 Bathroom: Fully Fitted Kitchen: Bright Reception Room: Lifts: 2nd Floor: Porter: Video Entry: 665sq ft.
Stunning two-bedroom apartment set in this quiet, modern private ported building with lift, located in the heart of Chelsea. The apartment comprises of two double bedrooms, modern bathroom, fully fitted kitchen with integrated appliances and a spacious reception room with large amounts of natural light.
This apartment is perfectly located moments from the popular restaurants of South Kensington, Knightsbridge and Sloane Square/Kings Road. The area is a hive of local activity with museums, many designer stores and excellent transport links.
Viewing
Please contact us on [HIDDEN] if you wish to arrange a viewing appointment for this property, or require further information.
Disclaimer
Orah Real Estate endeavour to maintain accurate depictions of properties in Virtual Tours, Floor Plans and descriptions, however, these are intended only as a guide and purchasers must satisfy themselves by personal inspection.",51.49199,-0.17127,1,,,,,,,,,,,,
Rent 2 bedroom apartment in London,"Property in Holland Park Avenue, London, W11",https://rentola.com/listings/property-in-holland-park-avenue-london-w11-7b7d16,Apartment,London,2,4175 €,,"Description
Exceptional Penthouse apartment located on the 9th Floor of this prestigious modern development in the heart of Holland Park.
Stunning Penthouse located in this modern purpose built development in the heart of Holland park. Located on the 9th floor, the property comprises of two large bedroom suites with ensuite bathrooms and ample storage, an additional Guest WC, huge reception room leading to a luxury modern open plan kitchen, and a winter garden.
The Penthouse has a high specification throughout, and the building benefits from having a lift and a 24 hour concierge. The flat also benefits fro having uninterrupted panoramic views of London.
The flat is well located in the heart of Holland Park, moments from the wide open spaces of Holland Park, Holland Park tube, Shepherds Bush tube and the plethora of amenities offered by Westfield shopping centre. The amenities of Notting Hill are also close by.
Viewing
Please contact us on [HIDDEN] if you wish to arrange a viewing appointment for this property, or require further information.
Disclaimer
Orah Real Estate endeavour to maintain accurate depictions of properties in Virtual Tours, Floor Plans and descriptions, however, these are intended only as a guide and purchasers must satisfy themselves by personal inspection.",51.50441,-0.21558,,,,,,,,,,,,,
Rent 3 bedroom apartment in London,"Property in New Drum Street, London, E1",https://rentola.com/listings/property-in-new-drum-street-london-e1-b912bd,Apartment,London,3,7422 €,,"Description
Penthouse: Duplex: 23rd and 24th Floor: Three double bedrooms: Three bathrooms: Double reception: Luxury kitchen: Split Level: Private terrace: Gym: 24 hour concierge: Parking: 1,560 Square feet: 291 Square feet of terrace.
Luxurious and sumptuous three double bedroom split level Penthouse apartment located on the 23rd and 24th Floors of this exclusive building. To the 23rd Floor, there is the open plan living area featuring a luxury bespoke fully fitted kitchen, Guest WC and a large open plan living and dining area leading on to an expansive south facing private balcony. The stylish staircase leas up to the sleeping quarters featuring a master bedroom suite with a plethora of storage and en ensuite. There are two further bedrooms which are serviced by an additional bathroom. The flat is South West facing allowing plenty of light. The flat affords magnificent views across the London skyline through its floor to ceiling windows. The building offers 24 hour concierge, a private residents gym, a communal roof terrace, and the flat comes with parking.
The apartment is well located, moments away for the City of London, and well located for the amenities of Shoreditch and Spitafields. This is a great flat in an unrivalled location.
Viewing
Please contact us on [HIDDEN] if you wish to arrange a viewing appointment for this property, or require further information.
Disclaimer
Orah Real Estate endeavour to maintain accurate depictions of properties in Virtual Tours, Floor Plans and descriptions, however, these are intended only as a guide and purchasers must satisfy themselves by personal inspection.",51.51495,-0.07132,,,,,,,,,,,,,
Rent 2 bedroom apartment in London,"Property in Westferry Circus, London, E14",https://rentola.com/listings/property-in-westferry-circus-london-e14-88831a,Apartment,London,2,3896 €,Yes,"Description
Refurbished: Penthouse: Two double bedroom: Lift: Two bathroom: One ensuite: Double reception: Ample storage: Roof Terrace: Parking: 988 Square feet.
This luxurious interior designed two-bedroom, two bathroom apartment on the tenth-floor of this waterfront estate is set over 988 SqFt. This spacious apartment with modern open-plan living space is fully furnished and enjoys wooden flooring and dedicated dining area in the reception room.
The space boasts floor to ceiling windows that allow in an abundance of natural light, while a private balcony with views of the impressive Canary Wharf skyline provide a relaxing setting.
A separate fully equipped kitchen with stylish LED under cabinet mood lighting, full-sized fridge/freezers, electric ovens with gas hobs, microwave ovens, external extractors, 1.5 sinks with food waste disposal, dishwashers, and washer dryers, so that you have everything you need from the day you move in.
The primary bedroom benefits from marble en-suite bathroom, with additional family bathroom in the apartment.
Bedrooms are spacious with king size beds and fully furnished with bespoke fitted mirrored wardrobes, luxury carpet and furnishings.
A new AV systems has been installed, including fibre broadband, large 55” LG Smart TV in the reception room and a Smart TVs in the bedrooms.
The apartment is ideally positioned within easy access of Zone 2 stations of Westferry (DLR), Canary Wharf (Jubilee) and Crossrail (Elizabeth line), adding to the extensive transport links including tree lined riverside footpaths, Thames Clipper river service, and local buses.
Viewing
Please contact us on [HIDDEN] if you wish to arrange a viewing appointment for this property, or require further information.
Disclaimer
Orah Real Estate endeavour to maintain accurate depictions of properties in Virtual Tours, Floor Plans and descriptions, however, these are intended only as a guide and purchasers must satisfy themselves by personal inspection.",51.50723,-0.02807,,,,,,,,,,,,,
Rent 5 bedroom house in London,5 bedroom property to let in 33a Hubert Road - £560 pw,https://rentola.com/listings/33a-hubert-road-f0c106,House,London,5,2597 €,Yes,5 double bedroom student property delightful refurbished property in an enviable location in selly oak. walking distance to all local amenities and transport links. briefly this property comprises: being fully furnished 5 double bedrooms modern fully fitted kitchen 2 bathrooms separate additional toilet modern furnishings excellent value for money! **viewing is highly recommended**,51.5264552,0.0420684,2,,,,,,,,,,,,
Rent 1 bedroom apartment in Leyton,1 bedroom flat to rent,https://rentola.com/listings/1-bedroom-flat-to-rent-6e0cce,Apartment,Leyton,1,1015 €,,"Next Home Ltd are delighted to offer this first floor, interchangeable apartment. The property can be used as 2 bedrooms or as 1 bedroom and 1 study and benefits from use of communal bathrooms and kitchen.",51.561012,-0.004983,,,,,2021-11-04,,,,,,,,
Rent 5 bedroom house in Hounslow,5 bedroom property to let in 10 Tiverton Road - £525 pw,https://rentola.com/listings/10-tiverton-road-ccff52,House,Hounslow,5,2435 €,,"5 double bedroom student property amazing rare find of a 5 bedroom property in a convenient location just a short walk to the university of birmingham and on the doorstep to all the amenities selly oak has to offer including cafes, bars, restaurants & cafes. this property briefly comprises of; 5 double bedrooms 2 large bathrooms modern design modern kitchen with high spec appliances 2 commercial wi-fi boosters installed in the property providing 3 bars of wi-fi to every room book your viewing in right now! part bills package available for £108 pppw (tv licence/water/internet) ***we charge zero admin fees***",51.47307,-0.35786,2,,,,,,,,,,,,
Rent 5 bedroom house in Rainham,5 bedroom property to let in 80 Hubert Road - £675 pw,https://rentola.com/listings/80-hubert-road-4ee6b8,House,Rainham,5,3131 €,,"5 bedroom student property a rare find 5 bedroom property all complete with own en suite bathrooms. a prime location literally a 6 minute walk from the university of birmingham. placed in the heart of selly oak close to all the amenities including bars, restaurants and supermarkets. this property briefly comprises of; 5 large, spacious double bedrooms all with own private bathrooms large landscape gardens ideal for entertaining amd summer bbq's! modern kitchen with high spec appliances we charge zero admin fees so book in right now for a viewing as this property will not stay available for long!",51.52752,0.18549,5,,,,,,,,,,,,
Rent 5 bedroom house in New Malden,5 bedroom property to let in 6 Rose Cottages Hubert Road - £615 pw,https://rentola.com/listings/6-rose-cottages-hubert-road-f5a8a4,House,New malden,5,2853 €,,"5 double bedroom student property stunning refurbished 5 double bedroom property , literally a 7 minute walk from the university of birmingham. super close to all the amenities selly oak has to offer including bars, restaurants and shops. this property briefly consists of; 5 large double bedrooms 2 luxury shower rooms spacious new open plan kitchen with modern high spec appliances including dishwasher, washing machine & tumble dryer open plan living area with luxury leather sofas this property is not to be missed out on so book your viewing today! we charge zero admin fees",51.40447,-0.27478,2,,,,,,,,,,,,
Rent 6 bedroom house in Rainham,6 bedroom property to let in 94 Hubert Road - £780 pw,https://rentola.com/listings/94-hubert-road-4ab3fd,House,Rainham,6,3618 €,,"6 double bedroom student property brand new refurbished 6 double bedroom property. ideal location, 7 minute walk to the university of birmingham and on the doorstep to all the amenities selly oak has to offer including the bars/restaurants, shops/cafe. this property briefly comprises of; 6 large double bedrooms 4 large bathrooms luxury orthopaedic beds huge open plan kitchen with high spec appliances interior designed this property is not to be missed out on, book today for your viewing. we charge zero admin fees",51.52794,0.18603,4,,,,,,,,,,,,
